,paperId,url,title,citationCount,influentialCitationCount,year,term
0,e07c988b1105f41c57a06cd6377e85170b730857,https://www.semanticscholar.org/paper/e07c988b1105f41c57a06cd6377e85170b730857,The Influence of Parents and Teachers on the Deep Learning Approach of Pupils in Norwegian Upper-Secondary Schools,5,0,2012,"large ""language model"""
1,184ac0766262312ba76bbdece4e7ffad0aa8180b,https://www.semanticscholar.org/paper/184ac0766262312ba76bbdece4e7ffad0aa8180b,Representation Learning: A Review and New Perspectives,9593,527,2012,"large ""language model"""
2,cc75c81148245198d4c6d4c8fcbbae487215903b,https://www.semanticscholar.org/paper/cc75c81148245198d4c6d4c8fcbbae487215903b,Convolutional-Recursive Deep Learning for 3D Object Classification,614,49,2012,"large ""language model"""
3,25badc676197a70aaf9911865eb03469e402ba57,https://www.semanticscholar.org/paper/25badc676197a70aaf9911865eb03469e402ba57,Machine learning - a probabilistic perspective,7769,989,2012,"large ""language model"""
4,f8c8619ea7d68e604e40b814b40c72888a755e95,https://www.semanticscholar.org/paper/f8c8619ea7d68e604e40b814b40c72888a755e95,Unsupervised Feature Learning and Deep Learning: A Review and New Perspectives,504,33,2012,"large ""language model"""
5,5726c7b40fcc454b77d989656c085520bf6c15fa,https://www.semanticscholar.org/paper/5726c7b40fcc454b77d989656c085520bf6c15fa,Multimodal learning with deep Boltzmann machines,1561,127,2012,"large ""language model"""
6,3ec10bc12d9e40b1a43eaf0f4d7e3320ac5e7dc8,https://www.semanticscholar.org/paper/3ec10bc12d9e40b1a43eaf0f4d7e3320ac5e7dc8,Theano: Deep Learning on GPUs with Python,245,18,2012,"large ""language model"""
7,4adae76303ff634ae66797221f0ba783983e5253,https://www.semanticscholar.org/paper/4adae76303ff634ae66797221f0ba783983e5253,Deep Learning for NLP (without Magic),153,9,2012,"large ""language model"""
8,3d1513ae78f4e038b235d7b01a5331803ec98529,https://www.semanticscholar.org/paper/3d1513ae78f4e038b235d7b01a5331803ec98529,The Segmentation of the Left Ventricle of the Heart From Ultrasound Data Using Deep Learning Architectures and Derivative-Based Search Methods,170,6,2012,"large ""language model"""
9,b9c681f15b43e13329c8c0e1a6c7283dae7c9099,https://www.semanticscholar.org/paper/b9c681f15b43e13329c8c0e1a6c7283dae7c9099,Hierarchical face parsing via deep learning,193,13,2012,"large ""language model"""
10,7e32f732138010581246e71b5f83a1a0f881cc0e,https://www.semanticscholar.org/paper/7e32f732138010581246e71b5f83a1a0f881cc0e,Promoting deep learning in a teacher education programme through self- and peer-assessment and feedback,102,6,2012,"large ""language model"""
11,b8ef1230a5cc9ea7cd8358f1ae7d1af97813ba14,https://www.semanticscholar.org/paper/b8ef1230a5cc9ea7cd8358f1ae7d1af97813ba14,Deep Learning Made Easier by Linear Transformations in Perceptrons,186,9,2012,"large ""language model"""
12,5bd4177440c17dad736f1e0d2227694d612f5a59,https://www.semanticscholar.org/paper/5bd4177440c17dad736f1e0d2227694d612f5a59,Three Classes of Deep Learning Architectures and Their Applications: A Tutorial Survey,126,5,2012,"large ""language model"""
13,a241a7e26d6baf2c068601813216d3cc09e845ff,https://www.semanticscholar.org/paper/a241a7e26d6baf2c068601813216d3cc09e845ff,Deep Learning for Time Series Modeling CS 229 Final Project Report,87,2,2012,"large ""language model"""
14,aefc7c708269b874182a5c877fb6dae06da210d4,https://www.semanticscholar.org/paper/aefc7c708269b874182a5c877fb6dae06da210d4,Deep Learning of Invariant Features via Simulated Fixations in Video,167,13,2012,"large ""language model"""
15,ef9e17ef4dc2b42c5ec2cacf9a504f844ced484b,https://www.semanticscholar.org/paper/ef9e17ef4dc2b42c5ec2cacf9a504f844ced484b,Query-Oriented Multi-Document Summarization via Unsupervised Deep Learning,39,4,2012,"large ""language model"""
16,398c296d0cc7f9d180f84969f8937e6d3a413796,https://www.semanticscholar.org/paper/398c296d0cc7f9d180f84969f8937e6d3a413796,Multi-column deep neural networks for image classification,3596,172,2012,"large ""language model"""
17,90bc935e99ba117a96fd549204a6e94c197bf47b,https://www.semanticscholar.org/paper/90bc935e99ba117a96fd549204a6e94c197bf47b,Going Deep into Mechanisms for Moral Reasoning Growth: How Deep Learning Approaches Affect Moral Reasoning Development for First-year Students,50,3,2012,"large ""language model"""
18,be18e0405a0372b5e8004d51263a153f6b72fa3b,https://www.semanticscholar.org/paper/be18e0405a0372b5e8004d51263a153f6b72fa3b,Improving students’ conceptual understanding of the greenhouse effect using theory-based learning materials that promote deep learning,53,2,2012,"large ""language model"""
19,908f505d8fe4f55f24994af4c7362e0959bfe4f7,https://www.semanticscholar.org/paper/908f505d8fe4f55f24994af4c7362e0959bfe4f7,Deep Learning to Hash with Multiple Representations,62,3,2012,"large ""language model"""
20,db26266f9bd3337b359758cb07dec36a061c5742,https://www.semanticscholar.org/paper/db26266f9bd3337b359758cb07dec36a061c5742,A survey on deep learning: one small step toward AI,29,5,2012,"large ""language model"""
21,0ff5c6951a819800b04d78b4030eaaadd1717bb2,https://www.semanticscholar.org/paper/0ff5c6951a819800b04d78b4030eaaadd1717bb2,Deep learning in very high resolution remote sensing image information mining communication concept,30,0,2012,"large ""language model"""
22,aa2c9da4cd3157cd51f417643ef3f2792d1c9a30,https://www.semanticscholar.org/paper/aa2c9da4cd3157cd51f417643ef3f2792d1c9a30,Deep learning using genetic algorithms,30,0,2012,"large ""language model"""
23,3127190433230b3dc1abd0680bb58dced4bcd90e,https://www.semanticscholar.org/paper/3127190433230b3dc1abd0680bb58dced4bcd90e,Large Scale Distributed Deep Networks,3215,323,2012,"large ""language model"""
24,57236bcb830af797396fefb0ac26fea9f0caeeba,https://www.semanticscholar.org/paper/57236bcb830af797396fefb0ac26fea9f0caeeba,Introduction to the Special Section on Deep Learning for Speech and Language Processing,73,1,2012,"large ""language model"""
